block_fips,nbrhood_id,nbrhood_name
60750254031017,64,Pine Lake Park
60750256003001,16,Excelsior
60750260022003,16,Excelsior
60750260031005,16,Excelsior
60750260032009,16,Excelsior
60750263023001,17,Financial District/Barbary Coast
60750117001021,35,Jordan Park / Laurel Heights
60750154003006,8,Clarendon Heights
60750305001001,12,Diamond Heights
60750216002003,50,Mission Terrace
60750310003008,50,Mission Terrace
60750310003016,29,Ingleside Heights
60750313022010,57,Outer Mission
60750353002004,57,Outer Mission
60750353005006,57,Outer Mission
60750353003006,57,Outer Mission
60750353003007,58,Outer Parkside
60750478021000,58,Outer Parkside
60750478013007,6,Central Richmond
60750478011002,6,Central Richmond
60750477021004,6,Central Richmond
60750477021003,6,Central Richmond
60750477023002,,
60750179021038,,
60750179021057,76,Telegraph Hill
60750104003006,,
60750179021017,,
60750179021033,11,Crocker Amazon
60750263023018,18,Yerba Buena
60750615001044,61,Pacific Heights
60750329014001,61,Pacific Heights
60750330006000,61,Pacific Heights
60750352012001,7,Central Sunset
60750330003006,7,Central Sunset
60750326023003,61,Pacific Heights
60750328022002,61,Pacific Heights
60750328021007,61,Pacific Heights
60750328011002,61,Pacific Heights
60750328011001,32,Inner Parkside
60750328011004,23,Golden Gate Heights
60750303023006,61,Pacific Heights
60750303014008,23,Golden Gate Heights
60750328011006,32,Inner Parkside
60750303023013,23,Golden Gate Heights
60750304003005,90,Little Hollywood
60750303023014,90,Little Hollywood
60750264022029,89,Bayview Heights
60750610002003,79,Visitacion Valley
60750610001026,3,Bayview
60750259003004,89,Bayview Heights
60750233001004,57,Outer Mission
60750233001017,59,Outer Richmond
60750604001008,24,Golden Gate Park
60759803001028,58,Outer Parkside
60750479021008,58,Outer Parkside
60750479022001,58,Outer Parkside
60750479015004,58,Outer Parkside
60750479012014,58,Outer Parkside
60750479023008,58,Outer Parkside
60750479014000,58,Outer Parkside
60750478022002,59,Outer Richmond
60750352021010,59,Outer Richmond
60750352022003,59,Outer Richmond
60750352021004,59,Outer Richmond
60750352021000,59,Outer Richmond
60750351003006,17,Financial District/Barbary Coast
60750117001016,72,Silver Terrace
60750615001007,72,Silver Terrace
60750615001008,72,Silver Terrace
60750615001004,18,Yerba Buena
60750615001047,72,Silver Terrace
60750615002004,72,Silver Terrace
60750615002014,33,Inner Richmond
60750402002002,72,Silver Terrace
60750615001001,73,South of Market
60750176015004,73,South of Market
60750176015005,73,South of Market
60750176012004,73,South of Market
60750178021000,73,South of Market
60750178021010,73,South of Market
60750178021012,31,Inner Mission
60750177002037,31,Inner Mission
60750177002034,31,Inner Mission
60750177002042,31,Inner Mission
60750177002041,31,Inner Mission
60750208002001,31,Inner Mission
60750208004001,31,Inner Mission
60750228013002,31,Inner Mission
60750228013005,31,Inner Mission
60750228011010,73,South of Market
60750180002035,4,Bernal Heights
60750252002004,4,Bernal Heights
60750252002007,4,Bernal Heights
60750252004006,4,Bernal Heights
60750252003017,4,Bernal Heights
60750254012005,4,Bernal Heights
60750254012008,64,Pine Lake Park
60750257011008,4,Bernal Heights
60750254032009,4,Bernal Heights
60750254021007,4,Bernal Heights
60750252003010,4,Bernal Heights
60750252003013,4,Bernal Heights
60750251002009,22,Glen Park
60750254011008,4,Bernal Heights
60750252003000,4,Bernal Heights
60750251002013,4,Bernal Heights
60750251002005,4,Bernal Heights
60750251002007,68,Presidio Heights
60750103001005,68,Presidio Heights
60750103001013,68,Presidio Heights
60750103003006,68,Presidio Heights
60750108001003,68,Presidio Heights
60750103002001,52,Noe Valley
60750104001002,68,Presidio Heights
60750103003003,54,North Panhandle
60750101001019,52,Noe Valley
60750104001000,22,Glen Park
60750218002008,22,Glen Park
60750218002011,73,South of Market
60750202001004,51,Mount Davidson Manor
60750215002009,4,Bernal Heights
60750253003008,4,Bernal Heights
60750253002002,4,Bernal Heights
60750253001006,4,Bernal Heights
60750253002006,4,Bernal Heights
60750254013001,76,Telegraph Hill
60750104003003,59,Outer Richmond
60750351003000,59,Outer Richmond
60750352013004,57,Outer Mission
60750354001002,57,Outer Mission
60750354001010,59,Outer Richmond
60750352015000,57,Outer Mission
60750354002007,59,Outer Richmond
60750351005004,59,Outer Richmond
60750351007002,57,Outer Mission
60750351007008,57,Outer Mission
60750353001009,57,Outer Mission
60750353001008,57,Outer Mission
60750354004002,37,Monterey Heights
60750604001007,57,Outer Mission
60750353006006,33,Inner Richmond
60750401003004,33,Inner Richmond
60750452001005,61,Pacific Heights
60750329011001,61,Pacific Heights
60750329012001,57,Outer Mission
60750353002001,61,Pacific Heights
60750329014008,61,Pacific Heights
60750329014005,57,Outer Mission
60750353004001,37,Monterey Heights
60750331003014,56,Oceanview
60750262005014,23,Golden Gate Heights
60750303014016,,
60750301022004,21,Forest Knolls
60750301022007,19,Forest Hill
60750304002007,20,Forest Hills Extension
60750306001006,80,West Portal
60750308004003,19,Forest Hill
60750304001018,19,Forest Hill
60750304001017,80,West Portal
60750308001003,12,Diamond Heights
60750101001004,51,Mount Davidson Manor
60750101001012,51,Mount Davidson Manor
60750102001013,22,Glen Park
60750101001022,75,Sunnyside
60750101001013,22,Glen Park
60750101002008,67,Presidio
60750102002000,66,Potrero Hill
60750109001000,66,Potrero Hill
60750204011010,66,Potrero Hill
60750217001000,66,Potrero Hill
60750217003004,41,Lower Pacific Heights
60750216001006,10,Cow Hollow
60750307002003,54,North Panhandle
60750307002015,54,North Panhandle
60750218004009,68,Presidio Heights
60750133004006,54,North Panhandle
60750601001082,54,North Panhandle
60750601001103,52,Noe Valley
60750601001180,68,Presidio Heights
60750601001074,68,Presidio Heights
60750127001011,15,Eureka Valley / Dolores Heights
60750127003007,68,Presidio Heights
60750108001000,68,Presidio Heights
60750103003000,54,North Panhandle
60750101001015,52,Noe Valley
60750104002001,4,Bernal Heights
60750255001002,66,Potrero Hill
60750601001020,17,Financial District/Barbary Coast
